,Name,Price,Rating,Reviews,Product Link,Image
10,"Insta360 Action Camera X3 Sports and Action Camera  (Black, 72 MP)","₹46,990",4.5,"['Very good product. But if you want to export full quality images or videos from this camera, you need very high spec mobile or pc. BTW, product is owsome.', 'Good product', 'Awesome 👍', '', '', '', '', '', '', '']",https://www.flipkart.com/insta360-action-camera-x3-sports/p/itm4d65f62a7e233?pid=SAYGHU4BKRSZ88WD&lid=LSTSAYGHU4BKRSZ88WD7KS9MI&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_11&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGHU4BKRSZ88WD.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/xif0q/sports-action-camera/x/r/b/-original-imaggehemn9ykvuv.jpeg?q=70
11,"SROPX MINI Wireless Hidden Video Audio Full HD 1080P CCTV WiFi IP Camera with Night Vision Sports and Action Camera  (Black, 12 MP)",₹899,3.3,"['Waste of money', 'video quality is not good... disappointed', 'Waste quality waste of money', '', '']",https://www.flipkart.com/sropx-mini-wireless-hidden-video-audio-full-hd-1080p-cctv-wifi-ip-camera-night-vision-sports-action/p/itmda7ffcc605a42?pid=SAYGFHFVKRGSHQFQ&lid=LSTSAYGFHFVKRGSHQFQFR7J3K&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_12&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGFHFVKRGSHQFQ.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l4pxk7k0/sports-action-camera/k/v/2/magnet-camera-wifi-hidden-camera-wireless-hd-1080p-hidden-night-original-imagfk9gsz3hc94v.jpeg?q=70
12,Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens  (Black),"₹39,990",4.5,"['Its good decision to buy ths camera to start photography. If u have talent then you can make it use better than high end cameras. Very happy with the performance.', 'I am reviewing this product after two years of usage :\n\nCamara is awesome for personal use, if you are beginner and looking for Camara only to use personal use and for small use at professional level then it is more than perfect.\n\nI love this product and thanks Canon to make my valuable memories alive.', 'Good quality pics its a better selection for beginers but i am using 70-300mm lens for telescopic range of photos .I am satisfied with this model thank you canon.', '', '', '', '', '', '', '']",https://www.flipkart.com/canon-eos-1500d-dslr-camera-body-18-55-mm-ii-lens/p/itm033175ceb4ddd?pid=DLLFAEWE22ZAERXG&lid=LSTDLLFAEWE22ZAERXGAHOJFJ&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_13&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.DLLFAEWE22ZAERXG.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70
13,"GoPro Hero9 Sports and Action Camera  (Black, 20 MP)","₹32,490",4.3,"['Best camera for best and coolest adventure trekking gopro hero 9 advantage value for money', ""From the gimble ready hyper smooth mode in video and hyperlapse , the GoPro Hero 9 is a must have for all vloggers/ travellers/photographers/videographers. I'm really impressed by the quality of the photos and videos and specially the hyper smooth mode."", 'Worth the Buy..\nGot the camera delivered on time.Quick software update was quite easy . Have used this majorly on my motovlogs and was fitted on my helmet chin Most of the time on off-roads.Also used in underwater conditions during my Goa Vlog. As they say nothing beats a GoPro.\nQuiet happy with my purchase as it’s worked well in every harsh and abusive environment I took .', '', '', '', '', '', '', '']",https://www.flipkart.com/gopro-hero9-sports-action-camera/p/itmb882bafb449cb?pid=SAYFV7SYVRCGUNXF&lid=LSTSAYFV7SYVRCGUNXFHBJ75I&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_14&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYFV7SYVRCGUNXF.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/kf75fgw0/sports-action-camera/n/x/f/hero-9-hero-chdhx-901-gopro-original-imafvzw4qhgprxhh.jpeg?q=70
14,"BLIPRICUBE 4K ACTION CAMERA GO PRO SERIES ACTION CAMERA 4K WITH WIDE ANGLE AND WATERPROOF HELMET Sports and Action Camera  (Black, 16 MP)","₹1,899",4,,https://www.flipkart.com/blipricube-4k-action-camera-go-pro-series-wide-angle-waterproof-helmet-sports/p/itm8711f05e83315?pid=SAYGNYAQN6XGSAPG&lid=LSTSAYGNYAQN6XGSAPGBI51QD&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_15&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGNYAQN6XGSAPG.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/xif0q/sports-action-camera/i/9/l/action-camera-4k-with-wide-angle-and-waterproof-helmet-4k-action-original-imagnyapv2fsfhx8.jpeg?q=70
15,"Insta360 One X2 Sports and Action Camera  (Black, 0)","₹34,490",4.4,"['Good for some awesomatic 360 degree views. The Image quality of 5.7k is inclusive of both front and back cameras so do not expect GoPro level clarity. But what this camera does best is to take excellent 360 views that you can merge together the way you want. Drone like pictures with the Invisible selfie stick is awesome.\n\nComing to other cons the device gets heated up and pretty much unusable after 30mins of continuous usage. Hence the device should be used intermittently. The software especi...\nREAD MORE', 'Its awesome, works great.\nPros\nIts 360 and you can be more creative with it.\nInvisible stick\nStabilization is good\nBattery is also good\nEditing App has awesome features\nOverall very attractive/cool videos can be made with unlimited possibilities\nCons\nShould have better quality/resolution at this price\nNo service centre in India\nNo lens cap provided, its a must', 'Never ending features....awesome product', '', '', '', '', '', '', '']",https://www.flipkart.com/insta360-one-x2-sports-action-camera/p/itmcd764322c84ed?pid=SAYFXB3FN5UCFTUP&lid=LSTSAYFXB3FN5UCFTUPO8Z81K&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_16&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYFXB3FN5UCFTUP.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/kll7bm80/sports-action-camera/w/y/2/one-x2-one-cinosxx-a-insta360-original-imagyzbbyhcw8hh5.jpeg?q=70
16,FUJIFILM Instax Treasure Box Mini 9 Instant Camera  (Blue),"₹5,499",4.4,"['My dream come true.. wow the colour is awesome and the camera looks so cute I loved it thank you Flipkart..', 'So pretty and value for money', 'My dream cam…i love it very much…', '', '', '', '', '', '', '']",https://www.flipkart.com/fujifilm-instax-treasure-box-mini-9-instant-camera/p/itm774c438ef5f61?pid=INAG37FNU3MQ3AAG&lid=LSTINAG37FNU3MQ3AAG3PMSDJ&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_17&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.INAG37FNU3MQ3AAG.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/kp2y2kw0/instant-camera/e/b/4/treasure-box-mini-9-instax-mini-9-fujifilm-original-imag3efxmxfrzggf.jpeg?q=70
17,"Bzrqx MINI CAMERA Spy Camera Hidden Camera Detector 1080P WiFi Camera for Home Office Security Sports and Action Camera  (Black, 12 MP)",₹899,3,,https://www.flipkart.com/bzrqx-mini-camera-spy-hidden-detector-1080p-wifi-home-office-security-sports-action/p/itm1ec7e39aabe9d?pid=SAYGG7ZVAT3PPPVC&lid=LSTSAYGG7ZVAT3PPPVCFSKDN5&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_18&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGG7ZVAT3PPPVC.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/xif0q/home-security-camera/d/r/c/1-mag2-indoor-outdoor-security-camera-sropx-original-imaghnhxgzktqh2t.jpeg?q=70
18,"CASON CN50 4K 60fps Action Camera For Vlogging HD 24MP ,3000 mAh Inbuilt Battery (3-4 Hrs work time) ,EIS ,Touch Screen With External Mic Sports and Action Camera  (Black, 24 MP)","₹7,695",3.7,['Cason cn50 camera super quality super video nice camera'],https://www.flipkart.com/cason-cn50-4k-60fps-action-camera-vlogging-hd-24mp-3000-mah-inbuilt-battery-3-4-hrs-work-time-eis-touch-screen-external-mic-sports/p/itm9ae2687b1ab6b?pid=SAYGZR74R6G9BSNB&lid=LSTSAYGZR74R6G9BSNBNAEVKO&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_19&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGZR74R6G9BSNB.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/xif0q/sports-action-camera/j/9/n/inbuilt-battery-3-4-hrs-work-time-eis-touch-screen-with-external-original-imagzr74prezg5by.jpeg?q=70
19,"SROPX MINI Smallest Mini Camera with Audio and Video Live Feed WiFi Sports and Action Camera  (Black, 12 MP)",₹899,3.4,['Ontime delivery. Products is good'],https://www.flipkart.com/sropx-mini-smallest-camera-audio-video-live-feed-wifi-sports-action/p/itmd612a9b1d37c9?pid=SAYGEGVTXKWSNRFN&lid=LSTSAYGEGVTXKWSNRFNW1WVS0&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_20&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGEGVTXKWSNRFN.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l186t8w0/home-security-camera/d/k/l/1-magnet-kss011-indoor-outdoor-security-camera-bzrqx-original-imagcu2kyzrdtxhb.jpeg?q=70
20,"RHONNIUM Plain 1080-HD Cam-042 ™ 30M Depth 16 MP Ultra HD Under Water Sports and Action Camera  (Silver, 12 MP)","₹1,399",3.1,"['Very Bad Products', 'Waste of money', 'Video quality not good but value of money', '', '', '', '']",https://www.flipkart.com/rhonnium-plain-1080-hd-cam-042-30m-depth-16-mp-ultra-hd-under-water-sports-action-camera/p/itm3e1c72d7556b0?pid=SAYFFWXZCKE43R4Z&lid=LSTSAYFFWXZCKE43R4ZJLZVNS&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_21&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYFFWXZCKE43R4Z.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/juwzf680/sports-action-camera/r/4/z/30m-depth-16-mp-ultra-hd-under-water-plain-1080-hd-cam-042-30m-original-imaffxdhbyszxg8h.jpeg?q=70
21,Canon EOS M200 Mirrorless Camera Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM)  (Black),"₹43,995",4.4,"['Pros :\n- Small and easy to use , just like digital camera\n- Comes with Digic 8 processor\n- 24 mp\n- Great for portrait , landscape , scenic view and still photography\n\nCons :\n- Since no ""VIEW FINDER"" it\'s not at all great for birding 🐦 and wildlife photography ( It\'s very hard to find bird/animal which are on trees or in grass over screen display ) we can see them with naked eye but finding them on screen display is too much difficult', '5 star for the performance for this price range. Below are my review for single lens 15-45 mm kit lens:\n\nPros:\n1. Lightweight and compact\n2. Easy to use for beginners\n3. Sharp pictures\n\nCons:\n1. Much lens not available for this camera(recommend EF-M to EF and EF-S mount adapter)\n2. No viewfinder', ""Overall good camera.\nPROS -\n1. Amazing auto focus - Auto focus is fast and accurate\n2. Color balance is good\n3. Video quality is awesome\n4. Those who captures in Auto mode this camera has lot of features\n5. Light weight and compact\n\nCONS -\n1. Camera grip is not good\n2. Build quality compared to old dslr's is little bit compromised\n3. Slow motion i.e 100 fps is not good.\n4. Strap quality is not good\n\n15-45mm kit lens is all purpose lens works well for normal use but if you need more bokeh eff...\nREAD MORE"", '', '', '', '', '', '', '']",https://www.flipkart.com/canon-eos-m200-mirrorless-camera-body-single-lens-ef-m15-45mm-f-3-5-6-3-stm/p/itm22196db772088?pid=DLLFKMK9Z3PBNYDJ&lid=LSTDLLFKMK9Z3PBNYDJ8ODOX4&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_22&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.DLLFKMK9Z3PBNYDJ.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/k1gr2q80/dslr-camera/p/q/m/eos-m200-eos-m200-canon-original-imafhyx2kydnznhg.jpeg?q=70
22,"TFG GO PRO Action Camera Waterproof Sport Camera for Bike Cycling Without WIFI Sports and Action Camera  (Black, 12 MP)","₹1,471",3.3,,https://www.flipkart.com/tfg-go-pro-action-camera-waterproof-sport-bike-cycling-without-wifi-sports/p/itmf65cbd4154ca7?pid=SAYGK7XKNFCXUDMH&lid=LSTSAYGK7XKNFCXUDMHYMY8EP&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_23&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGK7XKNFCXUDMH.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l5fnhjk0/sports-action-camera/h/h/7/underwater-waterproof-camera-with-adjustable-view-action-camera-original-imagg3bu9v6z39ay.jpeg?q=70
23,"GoPro Hero11 Waterproof Sports and Action Camera  (Black, 23 MP)","₹44,990",4.3,"['Excellent product....i love it🖤🖤🖤🌹🌹🌹', 'Excellent action camera. Better than any other action cameras in the market.', 'Awesome action camera....just bliss🥰', '', '', '', '']",https://www.flipkart.com/gopro-hero11-waterproof-sports-action-camera/p/itm1531340dfb06c?pid=SAYGHYSM6ZGGAEWD&lid=LSTSAYGHYSM6ZGGAEWDTN4DPN&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_24&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGHYSM6ZGGAEWD.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/xif0q/sports-action-camera/k/c/j/waterproof-hero11-2-27-23-chdhx-111-rw-gopro-original-imagg5bnxd5r3ac7.jpeg?q=70
