,Name,Price,Rating,Reviews,Product Link
11,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","₹1,27,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-deep-purple-128-gb/p/itm5256789ae40c7?pid=MOBGHWFHCWHXRZZJ&lid=LSTMOBGHWFHCWHXRZZJ9EECH5&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_12&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHCWHXRZZJ.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
12,"APPLE iPhone 14 Pro Max (Gold, 128 GB)","₹1,27,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-gold-128-gb/p/itm898d084d8a65f?pid=MOBGHWFHGDS3H5S9&lid=LSTMOBGHWFHGDS3H5S9AM0G7C&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_13&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHGDS3H5S9.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
13,"APPLE iPhone 14 Pro Max (Silver, 128 GB)","₹1,27,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-silver-128-gb/p/itmb520f3bdf56d5?pid=MOBGHWFHXFGNUZJA&lid=LSTMOBGHWFHXFGNUZJAMNTG4B&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_14&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHXFGNUZJA.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
14,"APPLE iPhone 14 Pro Max (Gold, 1 TB)","₹1,77,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-gold-1-tb/p/itm652c9ff84d759?pid=MOBGHWFHPFG8VNXS&lid=LSTMOBGHWFHPFG8VNXSQ4XTZ0&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_15&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHPFG8VNXS.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
15,"APPLE iPhone 14 Pro Max (Silver, 1 TB)","₹1,77,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-silver-1-tb/p/itm674918cf10f1d?pid=MOBGHWFHHURZWVKE&lid=LSTMOBGHWFHHURZWVKEHJCEFO&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_16&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHHURZWVKE.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
16,"APPLE iPhone 14 Pro Max (Deep Purple, 1 TB)","₹1,77,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-deep-purple-1-tb/p/itm325420078c46e?pid=MOBGHWFH7STEFFVC&lid=LSTMOBGHWFH7STEFFVC2ILHD7&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_17&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFH7STEFFVC.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
17,"APPLE iPhone 14 Pro (Deep Purple, 256 GB)","₹1,29,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-deep-purple-256-gb/p/itmfbeb0684432d7?pid=MOBGHWFHR4ZYUPH5&lid=LSTMOBGHWFHR4ZYUPH5XVPV0K&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_18&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHR4ZYUPH5.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
18,"APPLE iPhone 14 Pro (Silver, 512 GB)","₹1,49,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-silver-512-gb/p/itm7e2568f4b25ad?pid=MOBGHWFHYTAUDTNG&lid=LSTMOBGHWFHYTAUDTNGS2ZXK3&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_19&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHYTAUDTNG.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
19,"APPLE iPhone 14 Pro (Space Black, 512 GB)","₹1,49,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-space-black-512-gb/p/itm67843bf67dbae?pid=MOBGHWFHH9JVZK6Z&lid=LSTMOBGHWFHH9JVZK6ZJ4HT4L&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_20&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHH9JVZK6Z.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
20,"APPLE iPhone 14 Pro (Deep Purple, 512 GB)","₹1,49,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-deep-purple-512-gb/p/itm8b019143e0c10?pid=MOBGHWFH9YZ9HBFP&lid=LSTMOBGHWFH9YZ9HBFPSBJ0XT&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_21&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFH9YZ9HBFP.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
21,"APPLE iPhone 14 Pro (Silver, 256 GB)","₹1,29,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-silver-256-gb/p/itm769b7792c9a08?pid=MOBGHWFHW5BBUGP9&lid=LSTMOBGHWFHW5BBUGP9RWUBV3&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_22&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHW5BBUGP9.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
22,"APPLE iPhone 14 Pro (Deep Purple, 1 TB)","₹1,69,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-deep-purple-1-tb/p/itm7c1a62ebc5ecc?pid=MOBGHWFHEUDJH7TG&lid=LSTMOBGHWFHEUDJH7TGHCCLIH&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_23&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHEUDJH7TG.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
23,"APPLE iPhone 14 Pro Max (Space Black, 512 GB)","₹1,57,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-space-black-512-gb/p/itm68fe95bfc58dd?pid=MOBGHWFHSTGZHYAT&lid=LSTMOBGHWFHSTGZHYATDCZBHP&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_24&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHSTGZHYAT.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
